Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.training.solution.1.json	19667	-	0	0	0	0	0	0	8	1399	0	0	0	0	0	0	0	5	0	0	304	344	0	0	0	10	0	0
fsh-generated/resources/CarePlan-ARVTreatmentRegimenSwitchedOrSubstitutedExample.json	2841	27	0	0	0	1	0	0	0	54	0	0	0	0	0	0	0	0	0	0	27	28	0	0	0	0	0	0
fsh-generated/resources/Observation-HIVTestResultExample.json	1202	8	1	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-hiv-diagnostic-report.json	2529	362	0	0	1	0	0	2332	0	2416	0	0	0	0	0	1	0	1	0	0	323	3585	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-hiv-practitioner.json	1665	214	0	0	0	0	0	2628	0	2517	0	0	1	0	0	0	0	0	0	0	319	1501	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-hiv-test-results.json	3998	614	0	0	0	0	0	3836	0	3669	0	0	0	0	0	0	0	1	0	0	554	2621	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-hiv-lab-task.json	5043	910	0	0	0	0	0	5918	0	5716	1	0	2	0	0	0	0	2	0	0	730	2860	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-transferring-facility-encounter.json	1227	48	1	0	0	0	0	3972	0	3869	0	0	0	0	0	0	0	1	0	0	498	2136	0	0	0	11	0	1
fsh-generated/resources/CarePlan-ARVTreatmentExample.json	2058	18	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	0	0
fsh-generated/resources/Task-HIVLabOrderRejectionTaskExample.json	1383	6	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/CarePlan-ARVTreatmentRefusedExample.json	1244	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Organization-HIVServiceRequestLocationExample.json	986	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Practitioner-PractitionerExample.json	378	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-HIVServiceRequestExample.json	1803	9	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	21	17	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-art-regimen-change-type.json	549	2	1	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	12	10718	0	0	0	3	0	0
fsh-generated/resources/Specimen-VLSpecimenExample.json	1136	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Condition-HIVDiagnosisExample.json	1243	7	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-date-hiv-test-done.json	2809	342	0	0	0	0	0	3329	0	3284	0	0	0	0	0	0	0	1	0	0	457	1551	0	0	0	10	0	1
fsh-generated/resources/ValueSet-vs-careplan-outcome.json	685	3	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	12	159	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-viral-load-specimen.json	3792	591	1	0	0	0	0	4447	0	4409	0	0	1	0	0	0	0	1	0	0	563	2581	0	1	0	15	0	1
fsh-generated/resources/Bundle-LabResult.json	7685	35	0	0	0	0	51	0	0	65	0	0	0	0	0	0	0	0	0	0	64	121	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-key-population-status.json	1211	5	0	0	0	0	0	0	1	104	0	0	0	0	0	0	0	0	0	0	16	204	0	0	0	1	0	0
fsh-generated/resources/Observation-DateHIVTestDoneExample.json	862	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-art-regimen-switched-or-substituted.json	2119	254	0	0	0	0	0	1061	0	1058	0	0	0	0	0	0	0	0	0	0	142	495	0	0	0	22	0	0
fsh-generated/resources/ValueSet-vs-test-types.json	712	3	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	11	152	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hiv-arv-treatment.json	6304	796	1	0	0	0	0	4970	0	4979	0	0	0	0	0	0	0	2	0	0	584	2126	0	0	0	12	1	1
fsh-generated/resources/ValueSet-vs-arv-regimen.json	2603	10	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	24	160	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-art-regimen-line.json	1980	232	0	0	0	0	0	1082	0	1070	0	0	0	0	0	0	0	0	0	0	141	385	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-cs-key-population-status.json	502	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	63	0	0	0	0	0	0
fsh-generated/resources/Task-HIVLabResultTaskExample.json	1589	15	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	31	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-specimen-type.json	965	5	0	0	0	0	0	0	1	96	0	0	0	0	0	0	0	0	0	0	14	146	0	0	0	1	0	0
fsh-generated/resources/Bundle-EMR.json	13225	61	0	0	0	0	51	0	1	467	0	0	0	0	0	0	0	0	0	0	99	92	0	0	1	0	0	0
fsh-generated/resources/ValueSet-vs-vl-suppression.json	748	4	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	12	145	0	0	0	0	0	0
